,Total account liquidation value
2005-12-31,5000000
2006-01-02,5000000
2006-02-01,5130490.812
2006-03-01,5141787.945
2006-04-03,5665278.356
2006-05-01,6273639.835
2006-06-01,6183683.838
2006-07-03,6095138.13
2006-08-01,5591604.726
2006-09-01,5751965.7
2006-10-02,5460329.23
2006-11-01,5438154.719
2006-12-01,5388101.346
2007-01-01,5134611.455
2007-02-01,5488869.349
2007-03-01,5074785.184
2007-04-02,5171704.518
2007-05-01,5687682.043
2007-06-01,6550124.106
2007-07-02,6514815.857
2007-08-01,6494510.672
2007-09-03,6595946.453
2007-10-01,6878918.392
2007-11-01,7206560.804
2007-12-03,7023017.137
2008-01-01,7065695.671
2008-02-01,7702001.8
2008-03-03,9126117.479
2008-04-01,8784107.219
2008-05-01,8662774.885
2008-06-02,9006527.519
2008-07-01,9877639.766
2008-08-01,9085747.965
2008-09-01,9604313.169
2008-10-01,9100761.324
2008-11-03,11462515.37
2008-12-01,11828412.62
2009-01-01,12716896.86
2009-02-02,12484778.58
2009-03-02,13172043.96
2009-04-01,11942787.65
2009-05-01,11713289.41
2009-06-01,12906560.79
2009-07-01,12036776.96
2009-08-03,13108430.44
2009-09-01,12572032.69
2009-10-01,12839799.17
2009-11-02,12005425.91
2009-12-01,12264170.52
2010-01-01,11670485.38
2010-02-01,11640104.11
2010-03-01,11910371.65
2010-04-01,12349340.56
2010-05-03,11579855.8
2010-06-01,11261005.96
2010-07-01,11062697
2010-08-02,10577092.72
2010-09-01,10915996.31
2010-10-01,11496474.52
2010-11-01,12511961.29
2010-12-01,11956731.44
2011-01-03,12668679
2011-02-01,12869180.33
2011-03-01,13217894.63
2011-04-01,12761092.2
2011-05-02,13709021.92
2011-06-01,12917273.47
2011-07-01,11855991.23
2011-08-01,11519408.38
2011-09-01,11817348.21
2011-10-03,11911893.58
2011-11-01,10388265.57
2011-12-01,10696445.95
2012-01-02,10629899.1
2012-02-01,10632770.38
2012-03-01,11154179.6
2012-04-02,10792318.19
2012-05-01,10838373.51
2012-06-01,12953452.7
2012-07-02,11887082.49
2012-08-01,12009457.96
2012-09-03,12172710.54
2012-10-01,12196337.34
2012-11-01,11541857.68
2012-12-03,11161613.91
2013-01-01,11333430.59
2013-02-01,12113357.51
2013-03-01,11933891.83
2013-04-01,11780707.75
2013-05-01,11837698.53
2013-06-03,12122009.02
2013-07-01,12080683.84
2013-08-01,11943334.61
2013-09-02,11228007.67
2013-10-01,11144091.79
2013-11-01,11205474.26
2013-12-02,11898583.81
2014-01-01,11382526.99
2014-02-03,10632169.01
2014-03-03,11446661.03
2014-04-01,11289703.97
2014-05-01,10754284.03
2014-06-02,10577458.95
2014-07-01,10968661.53
2014-08-01,11151494.18
2014-09-01,11986428.48
2014-10-01,13516212.28
2014-11-03,13106626.12
2014-12-01,14211221.61
2015-01-01,15526577.89
2015-02-02,18028795.94
2015-03-02,17898418.76
2015-04-01,17446256.57
2015-05-01,16007293.31
2015-06-01,16132962.75
2015-07-01,15012835.49
2015-08-03,16323964.52
2015-09-01,16530892.54
2015-10-01,16743081.6
2015-11-02,16586529
2015-12-01,16817946.19
2016-01-01,15982774.78
2016-02-01,16623813.88
2016-03-01,16719528.85
2016-04-01,15659978.75
2016-05-02,16509307.51
2016-06-01,15846064.34
2016-07-01,16487550.95
2016-08-01,16683286.82
2016-09-01,15872542.61
2016-10-03,15254271.65
2016-11-01,15071191.64
2016-12-01,16676682.31
2017-01-02,17052809.58
2017-02-01,15814720.27
2017-03-01,16276439.01
2017-04-03,15780231.45
2017-05-01,15691103.92
2017-06-01,16512212.24
2017-07-03,15584868.6
2017-08-01,16675457.59
2017-09-01,16142848.39
2017-10-02,16727453.24
2017-11-01,18117599.87
2017-12-01,17206549.94
2018-01-01,17091222.78
2018-02-01,19783591.48
2018-03-01,19722859.35
2018-04-02,19917290.24
2018-05-01,19360229.08
2018-06-01,19043033.33
2018-07-02,20018159.45
2018-08-01,19313535.62
2018-09-03,19583698.41
2018-10-01,19769961.67
2018-11-01,18576508.98
2018-12-03,18895147.96
2019-01-01,20102793.64
2019-02-01,19590308.12
2019-03-01,19802129.67
2019-04-01,21091235.44
2019-05-01,21167421.14
2019-06-03,22579942.05
2019-07-01,22388398.79
2019-08-01,21534840.86
2019-09-02,22544783.17
2019-10-01,20912336.48
2019-11-01,20264009.72
2019-12-02,20904030.86
2020-01-01,20819360.02
2020-02-03,21164172.82
2020-03-02,20771100.11
2020-04-01,28232021.03
2020-05-01,27315669.7
2020-06-01,27648609.71
2020-07-01,27470584.32
2020-08-03,30421276.95
2020-09-01,31705846.1
2020-10-01,29116454.2
2020-11-02,30295502.67
2020-12-01,29398693.2
